日期,县区,水生产力（元/立方米）,水压力,安全饮用水人口比例,地下水开采量（亿立方米）,森林覆盖率,退化土地面积（公顷）,绿色覆盖指数,人均GDP（元）,就业人口人均GDP（元）,城市化率,农业水生产力（元/立方米）,农业水利用效率,耕地面积（公顷）,草地覆盖率
2012,流域,23.9446781216053,1.80884032524831,88.0027824943748,9.621368,0.0026416386733044,16056814.36,0.0844455126301675,3.94258177257486,10.8568370408851,38.2389250719589,4.57955802219525,0.767655808624729,643784,0.0458707115233226
2013,流域,23.4509346430073,1.76742692369394,87.3887935066145,9.61337270999257,0.00420469110397115,15927194.3325948,0.0916787615104375,3.88021131507342,10.888459445418,44.1453567221882,4.57994272611538,0.79994189290335,643157.432623654,0.0515758801799235
2014,流域,24.078335065424,1.72384609842122,87.8425972001011,9.61498149511504,0.0042288639351308,15934693.0436555,0.0914316862793223,3.98821726131723,11.1057949628384,45.1730907821786,4.64032238775554,0.804898102576775,638617.620735634,0.0515580242460488
2015,流域,24.8611466306928,1.73223414964792,88.3048321367511,9.62460799714652,0.00425385144692203,15935702.8458047,0.0915394039768036,4.10076142847345,11.3293610596571,46.2058665035778,4.74516726604658,0.794794636055515,640168.388877468,0.0515541974443997
2016,流域,25.7090825495177,1.73833306464176,88.7756705112614,9.62266808170104,0.00427956151090707,15938210.4362407,0.0915507616036772,4.21819287646197,11.5605621422675,47.2435543276388,4.84183935028609,0.803879024750173,640289.144981958,0.0515331049380763
2017,流域,26.5239207187093,1.72711698355552,89.2552826783437,9.61346752448599,0.00430599040090496,15941138.7368915,0.0915447806053942,4.3404092149694,11.7991266519976,48.2860237258394,4.93168377317007,0.805579194997669,640210.249853086,0.051505098625344
2018,流域,27.3308810107788,1.72461533770451,89.7438372771118,9.64129165593165,0.00433315200053354,15942411.0070411,0.0916252489188792,4.46771461186889,12.0453722980909,49.3331209441852,5.01911263035224,0.788350964586884,641059.287089853,0.0515110158530671
2019,流域,28.2068815583528,1.73122806018562,90.2415013806609,9.63328563279417,0.00436104920832817,15944158.7317377,0.0916730445093617,4.6004717598947,12.2998388603199,50.3846483322411,5.11333656866089,0.794532812829871,641883.183776293,0.051484927983437
2020,流域,29.1904470809337,1.73416520390555,90.7484406696164,9.61887100264169,0.00438965687072948,15946016.505351,0.0917200649881862,4.73871290049457,12.5626479213509,51.440345743043,5.22038195205465,0.802272172969292,642162.376724516,0.0514877574899941
2021,流域,30.1799160213126,1.72922139187565,91.2648196283487,9.62479903852343,0.00441903248037716,15948078.6124232,0.0917498493358088,4.88282520079642,12.8340394126079,52.4998743737423,5.32429266436223,0.803927356860978,642680.639154005,0.0514592391218868
2022,流域,31.1307351900893,1.72425147846522,91.7908017625085,9.65325889846309,0.0044491582508146,15949965.1500125,0.0917861667128784,5.03313743837389,13.1145483096348,53.562803313955,5.41421368851757,0.788724702194029,643178.250991344,0.0514376562467363
2023,流域,32.2303373714088,1.73233860351604,92.3265498365017,9.62933561450866,0.00448005598545529,15951463.9670842,0.0918400754851496,5.18997227841834,13.4044430276742,54.6285989795774,5.52543232298841,0.79483843988059,644031.829045864,0.0514130243499622
2024,流域,33.3476818397974,1.73460747379876,92.872226129519,9.63058296035232,0.00451169520342705,15952969.3404425,0.0918956347651903,5.353441714962,13.7040066984332,55.6966175330639,5.63675377477455,0.792167776439547,644610.601316389,0.0514046399154782
2025,流域,34.4420881860502,1.72921485093604,93.4279927087427,9.64043496981921,0.00454410883357065,15954384.6121174,0.0919511341656372,5.52408111998772,14.0137157462234,56.7661003247868,5.73607177988578,0.793955607395436,644975.000419092,0.0514073865469584
2026,流域,35.6709807388447,1.72737506484876,93.9940117183826,9.64359132932097,0.00457727145701433,15956206.865264,0.0919871500448498,5.70203701640292,14.3338025734536,57.8361723318084,5.85171938765592,0.791007186313934,645518.738855831,0.0513798907391148
2027,流域,37.0144485180098,1.73332015176707,94.5704456832353,9.63353276739727,0.00461124327247772,15958035.7331754,0.0920154915887035,5.8878917027787,14.6648025507515,58.9058435180378,5.97889627793875,0.792830270514221,646097.814660776,0.0513419390290097
2028,流域,38.2586844623752,1.73018271601251,95.1574578255195,9.64935959753044,0.00464600432730207,15959178.1139532,0.0920798398406592,6.08190443231796,15.007076385544,59.9740129916077,6.08558936334541,0.783221424289095,646564.6372737,0.0513454702620632
2029,流域,39.6566733525079,1.73271412810166,95.755212393806,9.63380163485794,0.00468153603009995,15961042.891729,0.0921032251144946,6.28446439112144,15.3610036048823,61.0394757902761,6.20841505404295,0.790341834504605,647175.598036931,0.0512992227179042
2030,流域,41.1815150801574,1.73413913329151,96.3638750029443,9.62115417172434,0.004717862029739,15962462.8749715,0.0921524345362449,6.49591742362488,15.7270203448703,62.1009320832728,6.34634005271638,0.805049161525809,647695.025012567,0.0512831140341415
2031,流域,42.6196715561663,1.72673804629875,96.9836129839719,9.62215316722556,0.00475497834648681,15964037.5219712,0.0921918459530815,6.71677150962224,16.1056098547453,63.1569985384055,6.46110189643293,0.800437962690529,648114.806896203,0.0512619787746511
2032,流域,44.2355823467321,1.73014942804925,97.6145957430877,9.63468411882224,0.00479293722777182,15965314.3601983,0.0922429511533863,6.94757291345627,16.4972275537858,64.2062215671011,6.59593638408539,0.802191629902192,648757.030650666,0.0512392790172108
2033,流域,45.8580081885097,1.72809846265281,98.2569951288703,9.63092852558808,0.00483172940288586,15966817.6973403,0.0922792653828813,7.18877137783266,16.9024055433946,65.2470921284041,6.72310162753513,0.799362098487322,649089.791408637,0.0512182278445969
2034,流域,47.5548889521954,1.72652158029493,98.910985807024,9.65029779164744,0.00487136137799114,15968285.219492,0.092316486016298,7.4407649110659,17.3215210416979,66.2780617470629,6.85386963599007,0.796641652313661,649660.670485635,0.0511839525693472
2035,流域,49.6171088290747,1.73608766082926,99.576745642042,9.61821505090714,0.00491185759878286,15969980.4210855,0.0923388303043012,7.70422896541336,17.7552648587491,67.297559381984,7.02185582236019,0.80612590398924,650113.359294373,0.0511405335586316
2036,流域,51.4293741901774,1.72940328325599,100,9.61816713250038,0.00495326564893775,15971216.507318,0.0923856374011069,7.97963548524511,18.2040751893239,68.3040087707047,7.15878673060351,0.802689155264626,650483.252825314,0.0511252867918878
2037,流域,53.4361458402129,1.73373989028851,100,9.6194358012427,0.00499551241973017,15972451.5090904,0.0924300679225032,8.26757485744671,18.668554816179,69.2958458740175,7.30569610106017,0.804303161853905,650977.733309138,0.0510998708389491
2038,流域,55.5557393053098,1.73083734997602,100,9.61631897916802,0.00503872190203811,15974140.6413988,0.0924485743800638,8.56865589140301,19.1491420907527,70.2715360529915,7.45951910125118,0.805773442617539,651440.321924674,0.0510493481730458
2039,流域,57.6425784086398,1.72615442835934,100,9.64159510085892,0.00508289377803783,15975608.054085,0.0924776103763373,8.88356971537624,19.6465659701986,71.2295906284407,7.59810473415878,0.795573342857218,651851.583189719,0.0510112575168114
2040,流域,60.0745586245647,1.73228365424035,100,9.62704711689822,0.00512807338374837,15976963.3935048,0.0925100007877197,9.21307655695511,20.1614636914251,72.168582499947,7.77345794717593,0.800562687979922,652339.112467543,0.0509712566043743
2041,流域,62.4024966651924,1.72837608040394,100,9.62471455817194,0.00517428344370009,15978665.0926474,0.0925220784435019,9.55778794359794,20.694481808561,73.0871605369629,7.92197283120438,0.793483798942195,652682.761577843,0.0509179432337617
2042,流域,64.9735937307687,1.73564774119745,100,9.63425143358692,0.0052215775881125,15979701.909577,0.0925712439881702,9.91853043268155,21.2463108618857,73.9840624969607,8.09532314360749,0.798785747566299,653214.706632455,0.0508901238245954
2043,流域,67.609775989078,1.73546622099567,100,9.63549114656223,0.00526998095380769,15981300.0673132,0.0925866224763108,10.2960390927303,21.8175426501378,74.8581262733995,8.2603569673459,0.798982090320629,653520.887182457,0.0508400093091541
2044,流域,70.6280969913509,1.73182071998797,100,9.6243028648914,0.00531957838880217,15983199.4055965,0.0925853411008011,10.690907730883,22.4085099403744,75.7082993275586,8.45663854295644,0.803406237537115,653893.221303083,0.0507683484623831
2045,流域,73.5154569857,1.7336152156843,100,9.61367990298945,0.00537047977279039,15984330.3592387,0.0926231394331907,11.1046744409172,23.0208631168008,76.5336462110229,8.63599976907133,0.805134518671326,654172.68012916,0.050739647260798
2046,流域,76.6469124243479,1.72857723564579,100,9.62570430961648,0.00542259152803822,15985724.4586205,0.0926464799721038,11.5375370162411,23.6545496454664,77.3333541378367,8.8253924529883,0.800854813065075,654538.171924463,0.0506904759163944
